,doch,jedoch,aber,andererseits,allerdings,hingegen
1978,0,0,1,0,0,0
1982,0,0,1,0,0,0
1984,1,0,0,0,0,0
1985,0,0,1,0,0,0
1986,2,0,0,0,0,0
1989,3,0,1,0,0,0
1990,2,1,1,0,0,0
1991,1,0,0,1,0,0
1993;,0,1,0,0,0,0
1994,0,1,2,0,0,0
1995,0,2,5,1,0,0
1996,0,1,3,0,0,0
1997,0,2,3,0,1,0
1998,1,2,2,0,1,0
1999,0,2,7,0,1,0
1b,0,1,0,0,0,0
2,2,3,10,0,2,1
2%,1,1,3,0,0,0
20,2,1,1,0,2,0
20%,0,1,1,0,0,0
20-20-20,0,1,0,0,0,0
200,0,0,2,0,0,0
2000,2,2,7,1,0,0
2000-2006,1,0,0,0,0,0
2001,1,0,3,0,0,0
2002,1,1,4,0,0,0
2003,2,5,2,0,0,1
2003-2006,0,1,0,0,0,0
2004,4,1,3,0,0,0
2005,1,2,5,0,1,0
2006,3,2,3,0,1,0
2007,2,1,3,0,1,0
2008,2,3,5,0,0,0
2009,3,2,1,0,0,0
2010,1,1,6,0,0,0
2011,0,0,1,0,1,0
2012,1,1,3,0,0,0
2013,1,0,2,0,0,0
2014,1,0,0,0,0,0
2015,2,0,1,0,0,0
2020,0,0,2,0,0,1
2020',0,0,1,0,0,0
2030,1,0,0,0,0,0
2050,0,0,1,0,0,0
20m,0,0,1,0,0,0
20th,0,0,1,0,0,0
21st,0,0,1,0,0,0
22,1,0,1,0,0,0
23,0,1,2,0,0,0
24,1,1,0,0,0,0
240,0,0,2,0,0,0
25,3,0,2,0,1,0
2560,0,0,1,0,0,0
25th,0,0,1,0,0,0
26,0,2,1,0,1,0
260,0,0,1,0,0,0
267,0,1,0,0,0,0
27,0,3,4,1,1,0
272,1,0,0,0,0,0
28,0,0,0,0,1,0
280,1,0,0,0,0,0
29,1,0,1,0,0,0
3,0,5,9,0,1,0
3%,0,2,0,0,0,0
30,2,2,3,0,0,0
30%,2,1,2,0,0,0
30-tonne,0,0,1,0,0,0
30-year,0,1,0,0,0,0
300,0,1,0,0,0,0
31,2,0,0,0,0,0
322,1,0,0,0,0,0
33,1,0,1,0,0,0
35,0,2,0,0,0,0
36,0,1,0,0,0,0
370,0,0,1,0,0,0
38,1,1,3,0,0,0
38%,1,0,0,0,0,0
380,0,0,2,0,0,0
39,0,0,1,0,0,0
391,0,0,1,0,0,0
4,0,3,5,0,1,0
4%,0,0,1,0,0,1
40,0,1,4,0,0,0
40%,0,0,1,0,1,0
40th,1,0,0,0,0,0
42,1,0,0,0,0,0
43,0,0,1,0,0,0
43),0,0,1,0,0,0
430,0,0,0,0,1,0
44(1),0,1,0,0,0,0
450,1,0,0,0,0,0
46,0,0,1,0,0,0
49,1,0,0,0,0,0
5,3,3,7,0,1,0
5%,0,2,1,0,0,0
50,1,0,5,0,0,0
50%,0,2,2,0,0,0
500,1,0,0,0,0,0
5000,1,0,0,0,0,0
51,1,1,0,0,0,0
51%,1,0,0,0,0,0
549,1,0,0,0,0,0
55-plus,0,1,0,0,0,0
56,0,0,2,0,0,0
57,1,0,0,0,0,0
57%,0,0,1,0,0,0
5b,0,1,0,0,0,0
6,0,2,3,0,0,0
6%,0,1,0,0,0,0
60,1,0,1,0,0,0
60%,0,0,1,0,0,0
600,0,0,0,0,0,1
63,1,0,0,0,0,0
69,0,0,1,0,0,0
6th,0,0,1,0,0,0
7,2,2,3,1,1,0
7%,0,1,2,0,0,0
7(1),0,0,0,0,1,0
7),0,0,0,0,1,0
70,0,2,2,0,0,0
70%,1,0,1,0,0,0
71,0,1,1,0,0,0
71%,0,0,1,0,0,0
73,0,0,1,0,0,0
732,0,1,0,0,0,0
75,1,0,1,0,0,0
76,1,0,0,0,0,0
77,1,0,0,0,1,0
78,0,0,1,0,1,0
79,0,0,1,0,0,0
8,2,0,6,0,0,0
8%,0,0,1,0,0,0
80,0,1,1,0,0,0
800,0,0,1,0,0,0
82,0,0,1,0,0,0
85,0,1,0,0,0,0
890,0,0,0,0,1,0
9,1,0,4,0,1,0
90,1,0,1,0,1,0
900,0,1,1,0,0,0
908,0,0,1,0,0,0
95%,1,0,2,0,0,0
96),0,1,0,0,0,0
97,0,1,0,0,0,0
97%,0,1,0,0,0,0
98,0,0,1,1,0,0
99,0,0,1,0,0,0
;,0,0,0,1,0,0
a,461,613,1212,47,174,25
abandon,1,0,2,0,0,0
abandoned,0,0,1,0,0,0
abandoning,0,1,1,0,0,0
abattoirs,0,0,1,0,0,0
abb,0,1,0,0,0,0
abdicate,1,0,0,0,0,0
abduction,0,0,1,0,0,0
aber,0,0,1,0,0,0
aberdeen,0,0,1,0,0,0
aberrations,0,0,1,0,0,0
abetting,0,0,1,0,0,0
abide,0,1,1,0,0,0
abiding,0,0,0,1,0,0
ability,1,1,5,0,0,0
abkhazia,0,0,1,0,0,0
able,16,14,33,3,0,0
abolish,1,0,1,0,0,0
abolished,0,2,1,1,0,0
abolishing,1,0,1,0,0,1
abolition,1,0,0,1,0,0
abominable,0,1,0,0,0,0
abominably,0,1,0,0,0,0
abomination,0,0,1,0,0,0
abort,0,0,1,0,0,0
abortion,1,1,2,0,1,0
abortions,1,0,0,0,0,1
about,61,55,166,6,18,1
above,15,10,80,0,0,0
above-board,0,0,1,0,0,0
abroad,0,0,0,0,1,0
abrupt,0,0,1,0,0,0
absence,2,4,6,1,3,0
absent,1,1,0,0,1,0
absolute,0,1,6,1,0,0
absolutely,5,14,18,1,1,0
absolve,0,2,2,0,0,0
absolved,0,0,1,0,0,0
absorb,0,1,0,0,0,0
absorbs,0,0,0,1,0,0
absorption,0,0,1,0,0,0
abstain,0,2,1,0,0,0
abstained,0,7,1,0,0,0
abstaining,0,0,1,0,1,0
abstentions,1,0,1,0,0,0
absurd,16,3,3,0,0,0
abundance,1,0,1,0,0,0
abundant,1,0,0,0,0,0
abundantly,1,1,1,0,0,0
abuse,1,0,3,1,0,0
abused,0,0,1,0,0,0
abuses,0,1,4,1,1,0
abyss,0,0,1,0,0,0
accede,0,1,3,0,0,0
acceding,0,0,1,0,0,0
accelerate,0,0,1,0,0,0
accelerated,0,0,1,0,0,0
acceleration,0,0,1,0,0,0
accent,0,1,0,0,0,0
accept,8,31,22,2,3,1
acceptable,7,6,9,0,5,2
acceptable;,1,0,0,0,0,0
acceptance,0,0,0,1,0,0
accepted,4,13,14,0,1,1
accepted;,0,0,1,0,0,0
accepting,0,1,4,0,0,0
accepts,0,2,3,0,1,0
access,7,3,14,0,0,0
accessibility,0,0,2,0,0,0
accessible,0,0,3,1,0,0
accessing,1,0,0,0,0,0
accession,2,4,10,1,1,0
accident,0,1,5,0,0,0
accidents,1,3,2,0,0,0
accidents;,0,0,1,0,0,0
acclaim,0,0,1,0,0,0
accommodate,0,0,2,0,0,0
accommodating,0,0,1,0,0,0
accommodation,0,1,0,0,0,0
accompanied,0,0,1,0,1,0
accompanying,0,1,0,0,0,0
accomplish,0,0,1,0,0,0
accomplished,1,0,2,0,0,0
accord,0,1,1,0,0,0
accordance,1,5,4,1,1,0
accorded,0,1,1,0,0,0
according,5,3,12,0,4,0
account,5,10,34,2,3,0
accountability,1,0,2,0,0,0
accountable,0,1,4,0,0,0
accountants,0,0,1,0,0,0
accounting,0,0,1,0,0,0
accounts,1,1,1,0,0,0
accruing,0,0,1,0,0,0
accuracy,0,1,0,0,0,0
accurate,4,2,5,0,0,0
accurately,0,0,0,0,1,0
accusation,0,0,1,0,0,0
accusations,0,0,5,0,0,0
accuse,0,0,1,0,0,0
accused,0,0,2,0,0,0
accustomed,1,0,0,0,0,0
achievable,1,0,1,0,0,0
achieve,11,21,28,1,4,3
achieved,0,12,23,1,4,1
achievement,1,2,4,1,0,0
achievements,2,1,2,0,1,0
achieving,1,5,10,1,0,0
acid,0,0,1,0,0,0
acknowledge,2,8,2,0,3,0
acknowledged,1,1,4,0,1,0
acknowledges,0,1,0,0,0,0
acknowledging,0,1,0,0,0,0
acp,0,0,2,0,0,0
acquainted,0,1,0,0,0,0
acquiesced,1,0,0,0,0,0
acquired,0,0,1,0,0,0
acquis,0,0,2,0,0,0
acrimonious,0,0,1,0,0,0
acrobatics,0,0,0,0,1,0
acropolis,0,0,1,0,0,0
across,4,4,8,1,0,0
act,4,9,20,2,4,0
acted,0,1,2,0,0,0
acting,0,1,4,0,0,0
action,9,18,51,6,0,0
actions,2,3,12,0,0,0
actions;,0,0,1,0,0,0
activate,0,1,0,0,0,0
active,2,2,10,0,1,0
actively,0,1,1,1,0,0
activists,0,1,0,0,0,0
activities,3,2,12,1,0,0
activities;,0,0,1,0,0,0
activity,3,3,3,0,1,0
actors,1,0,2,1,0,0
acts,1,3,5,1,0,0
actual,0,7,7,2,0,0
actually,24,8,29,0,5,3
acute,0,0,2,0,0,0
acutely,0,1,0,0,0,0
ad,2,0,2,0,0,0
adapt,0,1,1,0,0,0
adaptable,1,0,0,0,0,0
adaptation,1,0,1,0,0,0
adapted,0,0,1,0,0,0
adapting,1,0,1,0,0,0
add,5,17,13,0,3,0
added,3,4,10,0,0,0
addendum,0,1,0,0,0,0
adding,0,3,0,0,0,0
addition,3,3,5,0,1,0
additional,2,6,11,1,0,0
additionally,1,0,0,0,0,0
additions,0,1,0,0,0,0
additives,0,0,1,0,0,0
address,6,5,10,2,1,0
addressed,0,3,5,0,1,0
addresses,0,1,1,0,0,0
addressing,1,1,3,0,0,0
adds,0,2,1,0,1,0
aden,0,0,1,0,0,0
adequate,0,2,1,0,3,0
adequately,3,0,1,0,0,0
adhere,0,1,0,0,0,0
adherence,0,0,0,0,0,1
adheres,0,0,1,0,0,0
adjust,0,0,1,0,0,0
adjustment,0,2,1,0,1,0
adjustments,1,4,1,0,0,0
administer,0,1,0,0,0,0
administered,0,2,0,0,0,0
administering,0,0,1,0,0,0
administration,2,2,5,0,2,0
administrations,0,1,1,0,0,0
administrative,3,0,11,2,0,0
administrators,1,0,0,0,0,0
admirable,2,0,0,0,0,0
admire,0,0,1,0,0,0
admirer,0,0,1,0,0,0
admirers,1,0,0,0,0,0
admission,0,0,1,0,0,0
admit,4,5,11,1,8,0
admitted,0,1,1,0,0,0
admittedly,6,1,7,0,13,0
ado,0,0,1,0,0,0
adopt,3,3,6,0,0,0
adopted,9,8,16,0,3,0
adopting,0,1,0,0,0,0
adoption,0,1,3,0,1,0
adopts,0,1,0,0,0,0
adrian,0,0,1,0,0,0
adult,1,0,1,0,0,0
adulterated,0,0,1,0,0,0
adults,0,1,1,0,1,0
advance,1,1,2,0,0,0
advanced,0,1,1,0,0,0
advancement,0,0,1,0,0,0
advances,1,2,3,0,0,0
advancing,0,1,0,0,0,0
advantage,0,1,10,1,1,0
advantageous,1,1,0,0,0,0
advantages,2,0,5,1,1,0
advantages;,0,0,1,0,0,0
advent,0,0,0,0,1,0
adversary,1,0,1,0,0,0
adverse,1,0,1,0,0,0
adversity,1,0,0,0,0,0
advertise,0,0,1,0,0,0
advertising,0,2,1,0,0,0
advice,2,1,4,0,0,0
advisable,1,0,0,0,1,0
advise,1,2,1,0,1,0
advised,0,1,1,0,0,0
advises,1,0,0,0,0,0
advisory,0,0,4,0,0,0
advocate,0,4,2,0,2,0
advocated,0,0,1,0,0,0
advocates,0,0,0,0,1,0
advocates-general,0,0,1,0,0,0
advocating,0,0,1,0,1,0
aelvoet,1,0,0,0,0,0
aeroplanes,0,1,1,0,0,0
aerospace,1,0,0,0,0,0
affair,2,1,2,0,0,1
affairs,9,4,14,1,2,0
affect,1,4,7,0,0,0
affected,1,3,6,1,0,0
affecting,1,0,0,0,0,0
affects,3,3,6,0,0,0
affirm,0,0,1,0,0,0
affirmations,1,0,0,0,0,0
afford,2,0,3,0,0,0
affordable,0,0,1,0,0,0
afforded,0,0,1,0,0,0
affords,0,1,0,0,0,0
afghan,0,0,1,0,0,0
afghanistan,1,1,5,1,0,0
aforementioned,0,0,1,0,0,0
afraid,3,18,5,0,5,0
africa,0,1,10,0,0,0
african,1,3,6,0,0,0
africans,0,0,2,0,0,0
after,63,8,39,0,4,0
aftermath,0,0,0,0,1,0
afternoon,2,1,4,1,0,0
afterwards,0,0,2,0,0,0
again,18,20,44,1,5,0
against,18,25,51,3,7,2
age,6,5,4,0,1,0
ageing,0,2,0,0,1,0
agencies,1,1,10,1,1,0
agencies;,0,0,1,0,0,0
agency,0,4,5,0,1,0
agency's,0,0,1,0,0,0
agency;,0,0,1,0,0,0
agenda,4,6,22,2,2,0
agendas,1,0,0,0,0,0
agent,0,0,1,0,0,0
agents,2,0,1,0,0,0
ages,0,0,1,0,0,0
aggravated,0,0,1,0,0,0
aggravating,0,1,0,0,0,0
aggression,2,0,0,0,0,0
aggressive,1,0,1,0,0,0
aghast,0,1,0,0,0,0
agitation,0,0,0,0,1,0
ago,8,5,12,0,4,1
agree,13,48,54,0,10,1
agreed,8,6,10,0,4,0
agreeing,1,1,1,0,0,0
agreement,22,35,49,0,8,1
agreements,8,6,25,1,0,0
agrees,1,4,0,0,0,0
agri-food,1,0,0,0,0,0
agricultural,4,3,9,2,3,0
agriculture,4,1,15,0,0,0
agrimonetary,0,0,0,0,1,0
ahead,2,2,6,1,0,0
ahtisaari,0,0,1,0,0,0
aid,6,17,30,3,1,3
aids,3,3,2,0,0,0
aim,4,5,14,0,3,0
aimed,1,1,1,1,1,0
aiming,0,1,0,0,0,0
aims,5,5,5,0,0,0
air,5,2,8,0,0,0
airbus,1,0,1,0,0,0
airbus',1,0,0,0,0,0
aircraft,1,1,3,0,0,0
airlines,2,2,5,0,0,0
airport,0,0,2,0,0,0
airports,2,2,3,1,0,0
airspace,0,1,1,0,0,0
airways,0,0,0,0,1,0
akp,1,0,0,0,0,0
alakrana,0,0,1,0,0,0
alan,0,0,0,0,1,0
alarm,2,0,3,0,0,0
alarmed,0,1,0,0,0,0
alarming,0,2,5,0,2,0
alas,6,0,4,1,1,0
albania,0,1,4,0,0,0
albania;,0,0,0,0,1,0
albanian,0,0,0,0,1,0
albeit,1,5,8,0,8,0
alber,0,0,1,0,0,0
alcohol,1,1,1,0,1,1
alcoholic,0,1,0,1,0,0
alcoholism,0,0,1,0,0,0
aldea,0,1,0,0,0,0
alert,0,4,0,0,0,0
alexander,1,0,0,0,0,0
algeria,0,1,2,0,0,0
algerian,0,1,0,0,0,0
ali,0,0,0,1,0,0
aliens,0,0,1,0,0,0
alike,0,3,1,0,0,0
alive,0,0,0,1,1,0
all,168,149,377,11,36,2
all-out,0,1,0,0,0,0
allegations,1,0,1,0,0,0
alleged,0,0,1,0,0,0
allergies,0,0,1,0,0,0
alley,0,0,0,0,0,1
alliance,1,2,0,0,0,0
alliances,0,0,0,1,0,0
allied,0,0,0,0,1,0
allies,1,1,0,0,0,0
allocate,1,0,1,0,0,0
allocated,2,1,4,0,0,0
allocating,0,1,0,0,0,0
allocation,1,3,0,0,0,0
allocations,0,1,0,0,0,0
allotted,0,0,1,0,0,0
allow,9,22,32,2,5,1
allowance,1,0,0,0,0,0
allowances,0,0,1,0,0,0
allowed,3,4,9,0,4,1
allowing,2,4,1,1,0,0
allows,1,3,4,0,0,0
allude,0,0,1,0,0,0
alluded,1,0,0,0,0,0
ally,0,0,2,0,0,0
almost,4,6,11,1,1,0
alone,1,3,16,0,1,1
along,3,2,16,0,2,0
alongside,1,3,5,2,0,0
alongside’,0,0,1,0,0,0
alonso,0,0,1,0,0,0
alps,0,0,2,0,0,0
already,43,32,51,1,8,0
alright,0,0,2,0,0,0
also,87,459,1397,37,109,3
alter,2,2,2,0,0,0
alterations,0,0,1,0,0,0
altered,0,0,3,0,0,0
altering,0,1,1,0,0,0
alternative,0,1,4,0,0,0
alternatively,0,0,1,1,0,0
alternatives,3,0,3,0,0,0
althea,0,0,1,0,0,0
although,45,29,89,3,48,2
altogether,1,2,1,0,0,0
altruistic,1,0,0,0,0,0
always,19,26,42,0,7,0
alzheimer's,0,0,1,0,0,0
am,38,224,193,1,46,4
amazed,3,0,1,0,0,0
amazement,1,0,0,0,0,0
ambassador,0,0,2,0,0,0
ambiguities,0,1,0,0,0,0
ambiguity,0,0,2,0,0,0
ambiguous,1,0,0,0,0,0
ambition,3,2,2,0,0,0
ambitions,2,1,0,0,0,0
ambitious,8,2,20,1,0,1
amend,2,1,1,0,0,0
amended,0,2,4,0,0,1
amending,0,0,2,0,0,1
amendment,11,26,20,1,9,4
amendments,16,35,42,2,7,5
america,2,2,7,1,0,0
american,2,2,6,1,0,0
americans,2,2,3,0,0,0
amid,0,0,1,0,1,0
amin,0,0,1,0,0,0
amiss,0,0,1,0,0,0
amnesty,0,0,1,0,0,0
among,0,3,10,2,2,1
amongst,0,1,8,0,0,0
amorality,0,0,1,0,0,0
amount,4,2,15,0,0,0
amount;,1,0,0,0,0,0
amounts,2,5,2,0,1,0
amsterdam,3,1,7,0,1,0
amused,0,0,1,0,0,0
amusing,0,0,1,0,0,0
an,101,100,264,12,25,3
anachronistic,1,0,0,0,0,0
analogue,0,0,1,0,0,0
analyse,1,0,3,0,0,0
analysed,2,1,0,0,0,0
analyses,1,1,0,0,0,0
analysis,4,4,9,0,1,0
analyzed,0,1,0,0,0,0
anapolis,0,1,0,0,0,0
ancestral,1,0,0,0,0,0
anchor,0,1,0,0,0,0
ancient,0,0,1,0,0,0
and,474,368,1568,290,88,23
andersson,0,1,0,0,0,0
andrei,0,0,1,0,0,0
anew,0,0,2,0,0,0
angel,1,0,0,0,0,0
anger,0,0,1,0,0,0
angle,1,1,1,0,0,0
angola,0,0,1,0,0,0
anguish,0,1,0,0,0,0
animal,0,1,5,1,0,0
animal's,0,1,0,0,0,0
animal-based,0,0,1,0,0,0
animals,3,4,9,0,0,0
anna,0,1,0,0,0,0
annex,1,1,2,0,0,0
annexes,0,1,1,0,0,0
annihilation,0,1,0,0,0,0
anniversary,0,0,1,0,0,0
announce,0,1,2,0,0,0
announced,3,2,2,0,0,0
announcement,1,0,2,0,0,1
announcements,0,0,1,0,0,0
annoyed,1,0,1,0,0,0
annual,1,1,2,0,0,0
annum,0,0,1,0,0,0
anonymity,0,0,1,0,0,0
another,9,21,43,3,6,1
another;,0,0,1,0,0,0
answer,11,5,33,0,2,0
answered,1,0,3,0,0,0
answering,0,0,0,0,1,0
answers,3,1,4,0,0,0
ante,1,0,0,0,0,0
anthem,0,0,1,0,0,0
anti-american,0,0,1,0,0,0
anti-christian,0,0,1,0,0,0
anti-corruption,0,1,0,0,0,0
anti-democratic,1,0,0,0,0,0
anti-discrimination,1,0,1,0,1,0
anti-europeans,0,0,1,0,0,0
anti-farming,0,0,1,0,0,0
anti-fraud,0,0,1,0,0,0
anti-meciar,0,0,1,0,0,0
anti-personnel,0,0,2,0,0,0
anti-smoking,0,0,0,1,0,0
anti-values,0,0,1,0,0,0
antibiotics,0,0,1,0,0,0
anticipate,1,1,1,0,1,0
anticipated,0,0,1,0,0,0
anticipating,2,0,0,0,0,0
anticipatory,0,0,1,0,0,0
anttila,1,0,0,0,0,0
antwerp,0,1,0,0,0,0
antónio,1,0,0,0,0,0
anxiety,0,1,2,0,0,0
anxious,0,2,3,0,0,0
any,34,40,102,4,12,1
anybody,2,1,2,0,0,0
anymore,0,0,1,0,0,0
anyone,4,8,12,0,1,0
anything,4,5,15,0,1,0
anyway,4,1,14,0,3,0
anywhere,0,0,3,0,0,0
apart,11,2,14,1,0,1
apartheid,1,0,0,0,0,0
apathy,0,0,2,0,0,0
apologetic,0,0,1,0,0,0
apologise,0,2,3,0,0,0
appalled,0,2,0,0,0,0
appalling,0,0,0,0,2,0
apparent,0,2,2,0,1,0
apparently,0,1,6,0,2,0
appeal,2,3,7,0,0,0
appealed,1,2,0,0,0,0
appealing,0,1,1,0,0,0
appear,4,12,6,0,4,1
appearing,1,1,1,0,0,0
appears,2,11,11,0,3,1
appeasing,1,0,0,0,0,0
appending,0,0,1,0,0,0
appetiser’,0,0,1,0,0,0
appetite,1,0,0,0,0,0
applaud,1,0,0,1,0,0
applauded,1,0,0,0,0,0
applause,1,0,0,0,0,0
apple,0,0,1,0,0,0
applicability,0,0,1,0,0,0
applicable,0,2,6,0,0,0
applicant,3,1,2,0,0,0
applicants,0,0,2,0,0,0
application,2,4,4,1,0,0
applications,0,2,2,0,0,0
applied,3,4,12,0,1,0
applied;,0,0,0,1,0,1
applies,1,10,14,0,3,0
apply,4,4,11,0,3,1
"apply""",1,0,0,0,0,0
applying,0,1,3,1,0,1
appoint,0,0,1,0,0,0
appointed,0,0,2,0,0,0
appointing,1,0,0,0,0,0
appointment,0,1,0,0,0,0
appointments,0,0,0,0,2,0
apposite,0,0,1,0,0,0
appreciate,3,5,3,0,1,0
appreciated,0,0,1,0,0,0
appreciation,0,0,1,0,0,0
apprehensive,1,0,0,0,0,0
apprentices,0,0,1,0,0,0
approach,13,15,32,1,4,0
approach;,0,0,1,0,0,0
approached,0,0,2,0,0,1
approaches,1,1,2,0,1,0
approaching,1,0,0,0,0,0
appropriate,8,8,7,1,4,0
appropriately,0,0,1,0,0,0
appropriation,1,0,1,0,0,0
appropriations,1,1,6,1,0,0
appropriations;,0,1,0,0,0,0
approval,2,3,5,0,1,0
approve,0,1,3,1,1,0
approved,2,1,7,0,0,0
approves,0,0,2,0,0,0
approving,1,0,1,0,0,0
approximate,0,0,2,0,0,0
approximately,1,0,1,0,1,0
approximation,1,0,0,0,0,0
april,0,1,5,0,0,0
aquaculture,0,0,1,0,0,0
arab,0,0,3,0,0,1
arabia,0,2,0,0,0,0
arabs,0,0,1,0,0,0
arbitrary,1,0,1,0,0,0
arbitration,1,0,0,0,0,0
arbitrator,0,0,1,0,0,0
archaeological,0,0,1,0,0,0
architecture,1,1,1,1,0,0
archives,0,0,1,0,0,0
arctic,0,1,0,0,0,0
ardently,1,0,0,0,0,0
arduous,0,0,2,0,0,0
are,289,751,896,29,149,26
area,23,21,53,3,4,1
